"subjID","partner_type","block","error","rate"
"121","different","1","compound",0.037037037037037
"121","different","1","semantically_related",0.148148148148148
"121","different","1","phonologically_related",0
"121","different","1","unrelated",0.518518518518518
"121","different","2","compound",0.037037037037037
"121","different","2","semantically_related",0.0740740740740741
"121","different","2","phonologically_related",0
"121","different","2","unrelated",0.444444444444444
"122","same","1","compound",0
"122","same","1","semantically_related",0.142857142857143
"122","same","1","phonologically_related",0.0357142857142857
"122","same","1","unrelated",0.321428571428571
"122","same","2","compound",0
"122","same","2","semantically_related",0.0416666666666667
"122","same","2","phonologically_related",0.0416666666666667
"122","same","2","unrelated",0.0833333333333333
"122","different","1","compound",0
"122","different","1","semantically_related",0.0357142857142857
"122","different","1","phonologically_related",0
"122","different","1","unrelated",0.321428571428571
"122","different","2","compound",0
"122","different","2","semantically_related",0
"122","different","2","phonologically_related",0
"122","different","2","unrelated",0.115384615384615
"123","same","1","compound",0
"123","same","1","semantically_related",0.0714285714285714
"123","same","1","phonologically_related",0
"123","same","1","unrelated",0.392857142857143
"123","same","2","compound",0
"123","same","2","semantically_related",0.0357142857142857
"123","same","2","phonologically_related",0
"123","same","2","unrelated",0.285714285714286
"123","different","1","compound",0
"123","different","1","semantically_related",0
"123","different","1","phonologically_related",0
"123","different","1","unrelated",0
"123","different","2","compound",0
"123","different","2","semantically_related",0.0714285714285714
"123","different","2","phonologically_related",0
"123","different","2","unrelated",0
"124","same","1","compound",0.0740740740740741
"124","same","1","semantically_related",0.111111111111111
"124","same","1","phonologically_related",0
"124","same","1","unrelated",0.0740740740740741
"124","same","2","compound",0.0740740740740741
"124","same","2","semantically_related",0
"124","same","2","phonologically_related",0
"124","same","2","unrelated",0.037037037037037
"124","different","1","compound",0
"124","different","1","semantically_related",0
"124","different","1","phonologically_related",0
"124","different","1","unrelated",0.461538461538462
"124","different","2","compound",0
"124","different","2","semantically_related",0
"124","different","2","phonologically_related",0
"124","different","2","unrelated",0.333333333333333
"125","same","1","compound",0
"125","same","1","semantically_related",0.0740740740740741
"125","same","1","phonologically_related",0
"125","same","1","unrelated",0.037037037037037
"125","same","2","compound",0
"125","same","2","semantically_related",0.0714285714285714
"125","same","2","phonologically_related",0
"125","same","2","unrelated",0.0357142857142857
"125","different","1","compound",0
"125","different","1","semantically_related",0.037037037037037
"125","different","1","phonologically_related",0
"125","different","1","unrelated",0.37037037037037
"125","different","2","compound",0.037037037037037
"125","different","2","semantically_related",0.0740740740740741
"125","different","2","phonologically_related",0
"125","different","2","unrelated",0.148148148148148
"126","same","1","compound",0.0357142857142857
"126","same","1","semantically_related",0.214285714285714
"126","same","1","phonologically_related",0
"126","same","1","unrelated",0.142857142857143
"126","same","2","compound",0
"126","same","2","semantically_related",0.142857142857143
"126","same","2","phonologically_related",0
"126","same","2","unrelated",0.142857142857143
"126","different","1","compound",0
"126","different","1","semantically_related",0.0714285714285714
"126","different","1","phonologically_related",0
"126","different","1","unrelated",0.0714285714285714
"126","different","2","compound",0.0357142857142857
"126","different","2","semantically_related",0.0357142857142857
"126","different","2","phonologically_related",0
"126","different","2","unrelated",0
"127","same","1","compound",0
"127","same","1","semantically_related",0.08
"127","same","1","phonologically_related",0.04
"127","same","1","unrelated",0.2
"127","same","2","compound",0
"127","same","2","semantically_related",0.0357142857142857
