"contrast","estimate","SE","df","z.ratio","p.value"
"(different entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629) - different entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log1.84480707876371",8.19052709788249,2.85076009639774,Inf,2.87310289919947,0.00406461704611412
"(same entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log-1.79619292123629) - (different entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log-1.79619292123629)",-5.64695037369503,2.54114104534437,Inf,-2.22221052390651,0.0262690815819786
"(same entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log-1.79619292123629) - (same entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log0.114807078763709)",-0.259036813396156,2.39321688968006,Inf,-0.108237917972736,0.91380696743265
"(same entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log-1.79619292123629) - (different entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log0.114807078763709)",-3.88308904001781,2.22579194665288,Inf,-1.74458760436129,0.081056680068709
"(same entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log-1.79619292123629) - same entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log0.114807078763709",-1.70450038472085,1.63150720871322,Inf,-1.04473972019113,0.29614328164389
"(same entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log-1.79619292123629) - different entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log0.114807078763709",-1.82691582151017,1.69430713736713,Inf,-1.07826720505298,0.280914527973944
"(same entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log-1.79619292123629) - same entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log0.114807078763709",-2.87772378557949,1.4360569036616,Inf,-2.00390651529336,0.045080075504266
"(same entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log-1.79619292123629) - different entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log0.114807078763709",-0.158004488129978,1.74744773697542,Inf,-0.0904201509359367,0.927953344150715
"(same entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log-1.79619292123629) - (same entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log1.84480707876371)",4.88433940539929,2.92661510868123,Inf,1.66893808171456,0.0951296515064729
"(same entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log-1.79619292123629) - (different entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log1.84480707876371)",-6.86804575964443,2.81918703850342,Inf,-2.43617953184488,0.014843315434348
"(same entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log-1.79619292123629) - same entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log1.84480707876371",-0.838163768214218,1.92628186430487,Inf,-0.435120001774342,0.66347532572305
"(same entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log-1.79619292123629) - different entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log1.84480707876371",-0.421411369193188,1.95416942594549,Inf,-0.215647304475299,0.82926267958471
"(same entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log-1.79619292123629) - same entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log1.84480707876371",-5.48288451245156,2.73609795197901,Inf,-2.00390651529336,0.045080075504266
"(same entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log-1.79619292123629) - different entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log1.84480707876371",4.81105693626957,2.62855977691288,Inf,1.83030151283831,0.0672048653001917
