"c_FASQUEL_concreteness","c_FASQUEL_image_agreement","block","partner_type","c_SUBTLEX_frequency_log","yvar","SE","df","LCL","UCL","tvar","xvar"
-0.910780159521436,1.08177716849452,"1","same",1.84480707876371,18.6799734180894,8.61299789353021,Inf,1.79880774785079,35.5611390883279,"-0.910780159521436 1.08177716849452 1 same",1.84480707876371
1.22921984047856,1.08177716849452,"1","same",1.84480707876371,0.29003600731899,7.61265479691506,Inf,-14.6304932213706,15.2105652360086,"1.22921984047856 1.08177716849452 1 same",1.84480707876371
-0.910780159521436,-0.648222831505484,"2","same",1.84480707876371,8.49112793433631,3.61249756444411,Inf,1.41076281378721,15.5714930548854,"-0.910780159521436 -0.648222831505484 2 same",1.84480707876371
1.22921984047856,-0.648222831505484,"2","same",1.84480707876371,11.0173468820794,6.40932108683728,Inf,-1.5446916134748,23.5793853776335,"1.22921984047856 -0.648222831505484 2 same",1.84480707876371
-0.910780159521436,1.08177716849452,"2","same",1.84480707876371,11.8350826476026,8.24215847982594,Inf,-4.31925112772767,27.9894164229328,"-0.910780159521436 1.08177716849452 2 same",1.84480707876371
1.22921984047856,1.08177716849452,"2","same",1.84480707876371,10.0466495155866,7.29188578169982,Inf,-4.24518399592476,24.3384830270979,"1.22921984047856 1.08177716849452 2 same",1.84480707876371
-0.910780159521436,-0.648222831505484,"1","different",1.84480707876371,14.3542127330379,3.81805602045523,Inf,6.87096044198932,21.8374650240865,"-0.910780159521436 -0.648222831505484 1 different",1.84480707876371
1.22921984047856,-0.648222831505484,"1","different",1.84480707876371,6.65197949876923,6.72387113709915,Inf,-6.52656576663348,19.8305247641719,"1.22921984047856 -0.648222831505484 1 different",1.84480707876371
-0.910780159521436,1.08177716849452,"1","different",1.84480707876371,6.75003955456633,8.42593216763627,Inf,-9.76448403017827,23.2645631393109,"-0.910780159521436 1.08177716849452 1 different",1.84480707876371
1.22921984047856,1.08177716849452,"1","different",1.84480707876371,15.7582837766995,7.63408356378061,Inf,0.795754936720339,30.7208126166787,"1.22921984047856 1.08177716849452 1 different",1.84480707876371
-0.910780159521436,-0.648222831505484,"2","different",1.84480707876371,6.24910525408851,3.63393214598288,Inf,-0.873270874300283,13.3714813824773,"-0.910780159521436 -0.648222831505484 2 different",1.84480707876371
1.22921984047856,-0.648222831505484,"2","different",1.84480707876371,18.9074592840338,6.51763554175116,Inf,6.13312835784328,31.6817902102242,"1.22921984047856 -0.648222831505484 2 different",1.84480707876371
-0.910780159521436,1.08177716849452,"2","different",1.84480707876371,14.7957261219596,8.31361766168108,Inf,-1.4986650761714,31.0901173200906,"-0.910780159521436 1.08177716849452 2 different",1.84480707876371
1.22921984047856,1.08177716849452,"2","different",1.84480707876371,0.554153060657094,7.61444797079394,Inf,-14.3698907242531,15.4781968455673,"1.22921984047856 1.08177716849452 2 different",1.84480707876371
